10,4108,789,5.2065906210392905,0.2522179974651457,2.964512040557668,1.7756653992395437,143,356,290,1
20,6262,1198,1.7979966611018363,0.08597662771285476,0.9515859766277128,0.5943238731218697,200,547,451,1
30,9070,1743,1.6110154905335627,0.060240963855421686,0.8973034997131383,0.5576592082616179,297,780,666,1
40,14355,2718,1.9444444444444444,0.076158940397351,1.1144223693892568,0.6780721118469463,473,1184,1061,1
50,20421,3765,1.6111553784860557,0.05126162018592297,0.8980079681274901,0.5912350597609561,673,1554,1538,1
60,22760,4194,0.5577014783023366,0.016452074391988557,0.3094897472579876,0.20219360991893182,759,1725,1710,1
70,27535,5094,0.9373773066352572,0.036709854731056146,0.5410286611700039,0.3237141735374951,912,2092,2090,1
80,28869,5356,0.24906646751306946,0.008961911874533234,0.14189693801344286,0.08327109783420462,949,2214,2193,1
90,29932,5585,0.19033124440465532,0.006982990152193375,0.10832587287376902,0.06320501342882721,986,2338,2261,1
100,31242,5850,0.22393162393162394,0.00547008547008547,0.12547008547008548,0.0747008547008547,1040,2458,2352,1
110,32448,6083,0.1982574387637679,0.007397665625513727,0.10685517014630938,0.07101759000493178,1095,2548,2440,1
120,35233,6600,0.421969696969697,0.013030303030303031,0.23787878787878788,0.1506060606060606,1197,2762,2641,1
130,37817,7040,0.36704545454545456,0.011221590909090908,0.20525568181818182,0.12940340909090908,1277,2901,2862,1
140,39377,7354,0.21212945335871636,0.006527060103345118,0.11803100353549088,0.07302148490617351,1329,3045,2980,1
150,40901,7674,0.19859265050820954,0.006515506906437321,0.10893927547563201,0.07010685431326558,1393,3203,3078,1
160,42137,7940,0.15566750629722922,0.005037783375314861,0.08765743073047859,0.05377833753148615,1432,3348,3160,1
170,44202,8371,0.2466849838728945,0.010393023533628,0.14036554772428622,0.08350256839087325,1509,3556,3306,1
180,48738,9201,0.4929898924029997,0.014128899032713835,0.2799695685251603,0.18052385610259755,1674,3875,3652,1
190,51213,9681,0.2556554074992253,0.010845986984815618,0.14296043797128397,0.0912095857865923,1783,4068,3830,1
